东津世纪城襄阳小四中 中间楼层装修未入住,3室2厅|137m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,128万
东津大三房带车位正常首付南北通透,3室2厅|123m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,100万
东津世纪城117平精装三居室,3室2厅|117m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
东津世纪城117平米三房出售价格便宜,3室2厅|117m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,96万
东津世纪城14区，交通方便中小学校，大2房家电齐全低价出售,2室2厅|80m²|低层(共32层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69万
东津世纪城 102平纯毛坯房 小区前排 采光视野极好 有钥匙,3室2厅|102m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
东津世纪城86平毛坯2室全南户型学校商场旁边,2室2厅|86m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,64万
102平小三室 中间楼层 前排无遮挡 采光好 单价7600,3室2厅|102m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,75万
东津世纪城 边户 可正常首付 南北通透 环境优美 改造空间大,3室2厅|100m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,76万
14区精装修 好楼层 20多万贷款可正常首付,2室2厅|80m²|低层(共33层)|2012年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69.5万
东津世纪城85平送超大阳台可做3房近小区大门世纪中学对面,2室2厅|85m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,63万
急售 住房 2室2厅 64万 南北通透 86平 看房方便,2室2厅|86m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,64万
东津世纪城14区102平精装小三室，三成首付，业主诚意出售,3室2厅|102m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,86万
东津世纪城毛坯大三室，户型采光好，学期房，房东急卖，特价房,3室2厅|122m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,88万
东津世纪城四室户型好，诚心卖单价才7200，临近商场四中初小,4室2厅|140m²|低层(共33层)|2010年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,102万
4室2厅 102万 南北通透 140平 东津世纪城14区崇文,4室2厅|140m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,102万
东津世纪城102平精装修三室可拎包入住 无个税,3室2厅|102m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,86万
东津世纪城 117平精装修 送家具家电,3室2厅|116m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
东津世纪城12区88平豪华装修， 楼层，拎包入住，看房方便,2室2厅|88m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,78万
东津世纪城一楼带花园毛坯小三室诚意出售,3室2厅|99m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,90万
东津世纪城精装117平，三室两厅两卫，轻奢风格干净简洁,3室2厅|117m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
东津世纪城 学府区旁边 可正常首付适宜居住性价比高 环境优美,3室2厅|99m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,73万
东津世纪城14区 环境好 周边设施齐全,3室2厅|122m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,89万
东津世纪城新上H1经典小三房，南北通透，无遮挡,3室2厅|100m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
东津14区带40平左右花园户型通透采光好,3室2厅|117m²|低层(共32层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
急售东津世纪城学 区房，学校对面。户型方正。看房有钥匙,3室2厅|122m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,88万
世纪城一楼带花园经典毛坏二室无浪费面积,2室2厅|88m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
东津世纪城140平毛坯4室位置好视野开阔正常首付,4室2厅|140m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,103万
东津世纪城88平精装修，全新家具家电，买就送，拎包入住,2室2厅|88m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
东津世纪城 三室毛坯单价7100 房主工作调动便宜出售,3室2厅|99m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,72万
东津世纪城102平毛坯3室四中旁采光好视野开阔,3室2厅|102m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,76.5万
急售 117平 学區房 家电家私齐全 拎包入住,3室2厅|117m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,99万
首付无要求73万诚售东津世纪城中小学对面看房有钥匙近小区出口,3室2厅|99m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,73万
东津世纪城117平精装三居室,3室2厅|117m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
东津世纪城117平米三房出售价格便宜,3室2厅|117m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,96万
东津世纪城 毛坯房给您更多的自由装修空间 诚心出售 价格低,3室2厅|102m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
