无中折费用 出售汉水华城 装修好未住过 三室两厅 即买即住,汉水华城   樊城-武商沃尔玛-长虹路,汉水华城   樊城-武商沃尔玛-长虹路,12055元/m²
东津世纪城 四中对面 三室毛坯 单价7100 价格很便宜,汉水华城   樊城-武商沃尔玛-长虹路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7237元/m²
东津世纪城毛坯大三室，户型采光好，学期房，房东急卖，特价房,3室2厅|99m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7214元/m²
东津世纪城117平3室南北通透一楼带花园花园面积50平左右,3室2厅|99m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,9402元/m²
东津世纪城102平精装修三室可拎包入住 无个税,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8432元/m²
东津世纪城 117平精装修 送家具家电,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8986元/m²
东津世纪城3房精装修4中学校对面小区大门口位置好采光好急售,3室2厅|122m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8377元/m²
14区一楼送超大花园，三房两厅两卫， 大花园户型,3室2厅|122m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8975元/m²
东津世纪城1楼带50平大花园业主挥泪急售学校对面随时看房,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8889元/m²
东津世纪城102平毛坯3室四中旁采光好视野开阔,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7500元/m²
东津世纪城14区交通方便中小学大三房毛坯诚心出售,3室2厅|117m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7677元/m²
急售 117平 学區房 家电家私齐全 拎包入住,3室2厅|117m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8462元/m²
今早降价低于市场价 一楼 可正常首付 边户看房方便东津世纪城,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7000元/m²
东津三室学區房，餐客一体，无浪费面积，随意装修，看房方便！,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7475元/m²
必看好房丨明星楼盘 三期纯毛坯 三开间朝南紧凑型三房 有钥匙,3室2厅|102m²|低层(共33层)|2015年建造,汉水华城   樊城-武商沃尔玛-长虹路,11091元/m²
东津世纪城 学府区旁边 可正常首付适宜居住性价比高 环境优美,3室2厅|102m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7374元/m²
东津世纪城14区 环境好 周边设施齐全,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7296元/m²
东津世纪城88平一楼带花园面积30平左右 经典两室全南户型,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8750元/m²
东津世纪城低楼层 精装未入住 小区旁 无遮挡,3室2厅|116m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,9091元/m²
东津一楼带花园 卖一套少一套 可三成首付 看房方便,3室2厅|116m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8523元/m²
一楼带50平花园，采光充足，东津世纪城14区，毛坯88平,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,8523元/m²
九年义务教育一站式价格美丽看房方便,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7160元/m²
东津4中学区 单价才7300 88户型 价格面谈,3室2厅|117m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7273元/m²
东津世纪城88平毛坯两室四中旁首付3成即可,3室2厅|117m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7387元/m²
东津世纪城140平毛坯4室位置好视野开阔正常首付,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,7358元/m²
汉水华城 5.4米层高 沃尔玛商圈 商铺 首先 找我团购价,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,汉水华城   樊城-武商沃尔玛-长虹路,11952元/m²
汉水华城 5.4米层高 沃尔玛商圈 商铺 首先 找我团购价,3室2厅|117m²|低层(共31层)|2017年建造,汉水华城   樊城-武商沃尔玛-长虹路,11586元/m²
沃尔玛商圈 汉水华城公寓 5.4米层高民水民电大型落地玻璃窗,3室2厅|117m²|低层(共31层)|2017年建造,汉水华城   樊城-武商沃尔玛-长虹路,11858元/m²
一手新房5.4米层高买一套送一套长虹路沃尔玛汉水华城泛悦广场,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,汉水华城   樊城-武商沃尔玛-长虹路,11021元/m²
